Text,IsEthotic,SentimentPolarity
During the 1960s and 1970s some of us sought to see whether it was possible to define a strategic issue.,0,0
I imagine that issues of that kind concerning South Africa will be raised at the Commonwealth Heads of Government conference  and certainly we shall do nothing to stop that.,0,0
asked the Secretary of State for the Environment when he proposes to announce details of the 1987 88 rate support grant settlement.,0,0
Does my right hon. Friend agree that there is already large and welcome foreign investment in North sea oil  but that it would cause concern if companies such as Britoil and British Petroleum were to fall under foreign control  with the result that almost all the strategic qualities of North sea oil would be controlled by foreign interests?,0,0
No one has suggested  not even the Commission  that any time scale more rapid than that which we propose is possible  and its action in taking infraction proceedings against us  as it has done against many other member states  is irrelevant and harmful.,0,0
Provided that member states collect the appropriate amount of levy from those responsible for the surplus  they will be complying with the supplementary levy regulations.,0,0
Does this come under the heading of industrial production?,0,0
First  they have brought forward a review of the industry's finances.,0,0
As the House knows  I do not usually count the Front Bench when I say that I shall call two further Members from either side.,0,0
I hope that on reflection the hon. Gentleman will welcome that and see it as a sign of the improving economic position in Scotland.,0,0
Whether an increase is fair depends on the previous rent and how long it had appertained.,0,0
While I am sure that the House will continue to support my right hon. and hon. Friends in the efforts that the Government are making to reach agreement on the common fisheries policy  may I ask at what stage the Government will give some thought to a form of unilateral action if we cannot persuade our partners in Europe to come to a decision?,1,1
It was the Labour Government that presided over the doubling of unemployment in Scotland and left us with the situation with which we now have to cope.,0,0
We realise that there is deprivation in various other areas  but I think that my hon. Friend will agree that the way in which nursery school education has developed is helping those who need it.,0,0
I would reconsider my decision if that became necessary.,0,0
As for the earlier part of the question  we shall condemn now  and always  violence  wherever the source of that violence may be.,0,0
Because of BR's problems under successive Governments in financing its investments  will 5 my right hon. Friend urge BR to respond positively to any proposals to privatise commuter or other passenger services?,0,0
It would have that opportunity from day one  but until that time was reached it would have important work to do as an Assembly.,0,0
Thirdly  archaeologists  the acting world and the public demand scheduling.,0,0
Lord Lowry was not injured  but another man was hit.,0,0
The Hungarians are one group of sufferers  as are  equally  the people of Romanian origin.,0,0
Of course I realise that the matter is worrying.,0,0
"As the Press Association tapes report that the Secretary of State is having to cancel meetings because of the pressures of the Education Reform Bill""  we are delighted to see him here this afternoon.",0,0
My hon. Friend is entirely right.,1,1
If funds are not available from private sources  for example building societies  a local authority mortgage will be available to him.,0,0
I think that 95 per cent.,0,0
"As the Minister responsible for funding NACAB  I have agreed with it the need for a review  and that is now being progressed as rapidly as possible  and I stress ""rapidly"".",0,0
Will he assure the House that he will make sure that his inspectors do not continue to reduce crews on small vessels while the inquiry is under way?,0,0
My hon. Friend is correct.,1,1
However  I am aware of the problems of producers who made firm plans before quotas were introduced  but who will not have finished the work until the end of 1984 85.,0,0
The hon. Gentleman should tell his right hon. Friend after Question Time.,0,0
Will she bear in mind that the best protection which the consumer can possibly 19 have is the ability to buy the best goods at the best prices  from whatever source in the world?,0,0
Does my hon. Friend agree that in June 1986 the number of unemployed school leavers was 17 000  and in June this year the figure was 13 444?,0,0
What will he do to make care in the community a reality  not a Government slogan?,1,2
Does my hon. Friend agree that capital investment in the industry this year will reach nearly å£900 million?,0,0
Will my hon. Friend catch the drift of the questions from the Opposition and comprehend that if they have a mandate to govern in Scotland it follows that they have no mandate to govern in England?,0,0
Is there to be a distinction so that some are to be allowed legitimately to pursue terrorism and violence as long as it is against South Africa?,0,0
We have raised this matter at every meeting of the Council of Ministers since it became apparent.,0,0
In particular  will he have regard to the possibilities of specialisation and the enhanced role that the Royal Navy might be able to play in a settlement in a few years' time?,0,0
Perhaps he was not consulted about the electrification of the line through Ely to Cambridge.,0,0
asked the Secretary of State for Social Services whether he will provide more information on the type of sponsorship that is being provided by his Department of the search at Queen Mary college into the correlation between unemployment and mortality and on the research itself.,0,0
They vote for it.,0,0
I entirely accept that it is an important collection which ought to be accessible to the drama world; my obligation is to see what can be done to find the most viable answer  and I think that the way in which we are now proceeding is the right way at this stage.,0,0
I am quite confident that  had the economy continued under its previous management  the confidence on both sides of industry  especially management  would have been significantly less than it is today.,0,0
At this moment 400 000 building trade workers are unemployed  but hundreds of thousands of people are out searching for a house and cannot find one.,0,0
At the moment our concern is that the Commission draft is a confused mixture of general principles and detailed intrusive regulation.,0,0
I should not like him to stay there.,0,0
No decisions can be taken until all these options have been fully evaluated.,0,0
Does my right hon. Friend agree that the economic implications of the unification of Germany are rather more important than the defence ones?,0,0
The way to ensure that those who are most vulnerable in society do not suffer is for a speedy return to work by all those who are at present holding up the payment of benefits to the hardest hit in society.,0,0
Will my right hon. Friend confirm that he expects expenditure per secondary pupil in England this year to be higher in real terms than it has ever been?,0,0
The whole nation will stand to benefit from the economic recovery.,0,0
People are willing to do so.,0,0
It stated that Mr. Delors' speech to the TUC conference was approved in advance and ticked as innocuous by Foreign Office representatives.,0,0
I have said that in the present circumstances we will use it.,0,0
The hon. Lady  to whom I have answered a similar question before  will know that we have arrangements for redundancy payments in this country and that some firms  for instance the Milk Marketing Board  provide redundancy terms that are considerably more generous than those of the state scheme.,0,0
Building an office block on top of the site is an act of vandalism and incredibly short sighted  even from a commercial point of view.,0,0
I am watching the trends carefully and will of course be glad to discuss them with the CBI.,0,0
I shall certainly pass on to my right hon. and learned Friend the Secretary of State the hon. Gentleman's good wishes  for which he will be grateful.Although I appreciate that the hon. Gentleman must be feeling twitchy after this morning's opinion poll in the Glasgow Herald and may feel that it is time to start electioneering  it is surprising that he should raise this particular topic in the week when Caledonian Paper has begun to move towards setting up a paper mill in the new town of Irvine  which will create jobs for 1 000 workers during the two years of construction and 480 permanent jobs once the plant becomes fully operational in 1991.,1,2
However  I remind hon. Members that I agreed with Irish Ministers on 5 October on the importance of making further use of the extra territorial legislation.,0,0
Any Prime Minister who speaks so clearly for the needs of this country  by saying that our destiny is in Europe as part of the Community  has our fullest support.,1,1
To answer the only question that falls within the limits of the tabled question  I advise the hon. Gentleman that I have had the opportunity of meeting representatives of the work force at Brymbo and have been able to assure them that I am aware of the tremendous progress that they have made  individually and collectively  in terms not only of the quality of their work  but of productivity.,0,0
I read in the newspapers today that the Britoil board envisages the day when the golden share in Britoil will no longer exist.,0,0
I shall answer rather briefly that fairly lengthy question.,0,0
I agree with my hon. Friend that the private generation of electricity might indeed be a considerable boost for Northern Ireland for several reasons åùthe possibility of cheaper electricity arising out of private sector efficiencies  the welcome boost to the construction industry and to the economy generally  and the impact that such a significant demonstration of confidence would have on Northern Ireland's industry.,1,1
Will he bear in mind that weapons continue to be available to terrorists who want to murder people along the frontier?,0,0
We have been raising that matter at every meeting of the Council of Ministers since the middle of last summer  and I am glad to say that one of the first things that the new Commissioner did was to introduce some proposals that sought to deal with the problem of inflexibility between a direct and a wholesale quota when they are on one farm.,0,0
There will be a slightly different allocation of resources in a better direction  and I doubt whether it will make much difference to the amount of grant forfeited.,0,0
I thank the Minister for that reply.,0,0
It is taking the Government some while to come to a conclusion because we are making the most industrious effort to ensure that we have all the facts available to us.,1,1
I have no reason to believe that the contract is lost.,0,0
Is the right hon. Gentleman aware of the unemployment in the building industry?,0,0
It has not been a matter of seeking to reward certain authorities and penalise others.,0,0
I am against attempts to divide Foreign Ministers from Heads of Government in Bonn or elsewhere  and I do not think that such attempts are very likely to succeed.,0,0
That is what has to be understood.,0,0
I have decided  after consideration  to accept that advice.,0,0
The hon. Gentleman can see from that that there is plenty of scope for saving.,0,0
As I said  we did it last year  and we continue to believe that it is not in the Community's interest to end the scheme.,0,0
Having regard to the implications for British forces in Germany  will the right hon. Gentleman undertake that any review such as that which is under consideration will take account of the relationship not only of forces in Europe but of United Kingdom forces generally?,0,0
on GREAs and 5 per cent.,0,0
Within the Commonwealth secretariat there is already a special unit  established in early 1985  to deal with human rights issues.,0,0
I am sure he will agree that the only way to solve the unemployment problem is to remove a lot of the restrictions which have made it not worth while for people to start new businesses and create new jobs  unfortunately under the Government of which he was a most loyal supporter?,1,2
That is an additional reason why all concerned ought to try their best to change their positions to resolve the dispute.,0,0
asked the Secretary of State for the Environment what is his policy on building on greenfield sites or a ribbon development from villages and towns in southern England.,0,0
Has there been any new initiative by the Government designed to decrease unemployment rather than increase it?,1,2
If that is so  will the Secretary of State ensure that the Margam pit investment is high on that agenda?,0,0
We believe that we can reach certainty about the price of brown lignite on a long term contract  the object being to have a fixed price or a price on a formula for the life of the station.,0,0
We said that we would sustain the integrity of the New Hebrides.,0,0
As to the sheepmeat regime  it has worked reasonably well but we shall continue to seek changes which will make it easier for our lamb to be exported to the rest of the Community and which will improve the stability of the home market.,0,0
There will be a number of opportunities for debate on those matters in the House and in the European Council.,0,0
They include valuable national advice and courses that are not provided by any other national institution.,0,0
That is one of the matters about which I shall be talking to the chairman.,0,0
We believe that it is important to play our part in that  too.,0,0
Recently I met representatives of certain organisations who raised the difficulties that they believe are being faced by a particular group of 16 and 17 year olds.,0,0
I am confident that there is substantial scope for savings and we intend to ensure that they are brought about.,0,0
There is increasing acceptance that it was necessary to curb the ever spiralling costs of the dairy surplus throughout the Community.,0,0
The ILO committee on freedom of association will be meeting later this month to report to the committee of experts  but it has no formal standing in itself.,0,0
Are we not likely to repeat the mistakes made following the 1955 modernisation plan  when there was a multiplicity of different sorts of diesel locomotives  with all the consequential problems of maintenance and driver training?,0,0
Will my hon. Friend bear carefully in mind the substantial benefit that came to people through the revaluation rebate scheme  notwithstanding what may have been said by Opposition Members?,0,0
Will the Government at last recognise that the main centres of unemployment are not only the inner cities  and that the worst centre is the rural area of Cumnock and Doon Valley?,0,0
We have had far too many unsuccessful ones in recent years.,0,0
Does the Secretary of State agree that although he may continue to give us meaningless statistics  it is worth remembering that over 9 000 weapons have been captured in the last 12 years?,1,2
I have now met every organisation that has asked for a meeting.,0,0
It cannot be paid several weeks at a time  as would be possible if an existing book were in operation.,0,0
It is for sovereign states  for individual countries  to decide how they respect those obligations.,0,0
If there is any need to have a discussion with our colleagues at future councils whatever councils they may be if we have disagreements  we shall express them most clearly  as we always do.,0,0
I cannot be expected to keep in my head every word that The Times printed on this subject on 30 March.,0,0
The hon. Gentleman should consider the proposed cuts in proportion to the total service.,0,0
If there are any queries about the payment of pensions or other benefits  I ask hon. Members to advise their constituents to go to their local offices  where the instructions are clearly displayed and where the staff can advise on the best course of action to take.,0,0
I hope that in this regard  as in many others  there will be common ground between both sides of the House.,0,0
I hope that he will resist the proposals that have been advanced by his hon. Friends.,0,0
I have met representatives of the Confederation of British Industry in Scotland four times and of the Scottish Trades Union Congress nine times at official meetings since May 1979.,0,0
We are continuing to discuss that.,0,0
I regret that the fishermen are still on strike.,0,0
I could not have expressed it better myself.,0,0
The hon. Gentleman is therefore mistaken in his assumption.,1,2
One of the main engines of this pressure is the high rating policies of councils in the north of England  which have driven businesses south  forcing people to follow if they are to obtain jobs.,0,0
Does my right hon. Friend agree that if we are in future to encourage other developers to take a responsible attitude there should be some recognition of the developer's role and that we should be seen to suport the work of English Heritage in difficult circumstances?,0,0
asked the Minister of Agriculture  Fisheries and Food whether he is satisfied that the dairy quotas are being implemented properly in other European Economic Community countries.,0,0
Not only have many thousands of ordinary Scottish tenants sought to exercise this right  but at least 29 Scottish local authorities are providing for the right to buy.,0,0
I have the statement here.,0,0
I confirm that the long term abolition of domestic rates remains a priority.,0,0
The Chancellor's statement is welcome as far as it goes  but it does riot go very far  because it contains certain qualifications.,1,2
To ask the Secretary of State for Foreign and Commonwealth Affairs what information he has on tensions between Hungary and Romania; and what representations he has made about the proposed systemisation of villages in Transylvania.,0,0
Before the Minister gets too carried away  will he confirm that he expects to have to give a full  written report to the Commission about the tax concessions?,0,0
Is it not true that if all the council accommodation in Britain which is currently vacant because of inefficient management  mainly by Socialist local authorities  were put to use  virtually all Britain's homeless could be given a home immediately?,0,0
A most recent cause is the doubling of oil prices in the last 12 months.,0,0
Does the Secretary of State recognise that there is an overwhelming demand in this country and overseas that the site should be scheduled?,0,0
Will he give an assurance that he will take steps to see that it does not occur in the future?,0,0
Surely  therefore  the Government should give us some idea of when they propose to abolish the system and what they intend to put in its place.,0,0
Might not the way to bring the private rented sector back into operation be to abolish the Rent Acts and institute a limited form of control along the lines of business tenancy controls under the Landlord and Tenant Act 1954?,0,0
It would be inconsistent with those assurances if they acquired a shareholding of 29.9 per cent.,0,0
How long does he really believe that the United Nations can be expected to carry on alone in this crucial issue?,0,0
My right hon. Friend and I met representatives of the fishing industry on Tuesday this week at our request to receive information from them about the present financial situation in the industry.,0,0
The party that destroyed the direct grant schools has no right to complain when  on behalf of those who are most able to benefit from education and least able to get good education in their areas  the present Government  through my right hon. and learned Friend  my predecessor  have introduced the assisted places scheme.,1,2
If that is the fault of anyone  it is the fault of the previous Labour Government.,1,2
Will he quantify precisely the savings from the abolition of seven elected local authorities and their replacement by one London planning commission; five new police joint boards; seven new fire joint boards; one London transport authority; six new transport joint boards; one staff commission; seven bodies to hold and dispose of property; a statutory body for the management of debt  residual superannuation matters and residual legal liabilities in London; consortia for central purchasing in London; seven administering bodies for external debt; seven administering bodies for staff superannuation; seven administering bodies for legal rights and liabilities; seven statutory joint arrangements for waste disposal and a 48 member ILEA being replaced by a 50 member ILEA?,0,0
Yesterday  the State Department issued a statement that it was its intention to prosecute should there be any violation of United States law.,0,0
I remind the hon. Member that over the last year 6 500 more children entered nursery education  under the present Government than in the previous year  and in the first year in which we were in office the number was 5 200.,1,1
The essence of any social policy is to create employment.,0,0
While I welcome the arrangements that the Government have made  may I ask my hon. Friend to give an assurance that new pensioners will be given the benefit of any doubt and that there will be no question of those likely to be entitled to pension having to apply for supplementary benefit?,1,1
We have agreed to deal with them urgently.,0,0
That is one reason why those who have looked at this issue over the years have found it so difficult.,0,0
The awards of the panels and tribunals will have to be scaled down  but that is a function of the extra 2.5 per cent.,0,0
Can my right hon. Friend give us some idea not so much about the targeting of cruise as about the briefing that he may have given to his right hon. and learned Friend the Foreign Secretary prior to the talks in Stockholm  with regard to cruise particularly?,0,0
However  I emphasise that the action agreed on yesterday was taken on its merits and on no other criteria.,0,0
Perhaps the hon. Member also wishes me to tell the people of Bradford that the high level of rates is part of the reason for the high level of unemployment.,0,0
Is the Minister aware that few ministerial statements in this Parliament have been so roundly and universally condemned as his statement of 18 March about the British shipping industry?,1,2
Does the Minister accept  then  that the library is the definitive theatre library  used by theatre companies and academics throughout the world?,0,0
of the cash figure for provision.,0,0
Our policies are to encourage the fullest possible use of sites in urban areas  to protect the green belt and to avoid ribbon development.,0,0
We strongly regret the action that the European Commission has taken.,0,0
of total resources was provided by the public sector in the last financial year.,0,0
I am sure that the House will want to know that the tractor industry in Britain is still one of the largest in the world  with output of about å£860 million.,0,0
Will the Government now press South Africa to allow Mrs. Winnie Mandela to leave her own country next month to attend the women's conference in Nairobi?,0,0
Will he confirm that he is equally determined to do that for the South Coast of England?,0,0
Is he aware that the announcement by the Minister for Social Security over the weekend of an increase of 16Ìâå_ per cent for war pensioners in November will be viewed by both war pensioners and organisations representing them as an absolute betrayal of commitments by successive Governments to give proper protection to those who were wounded as a result of war service?,1,2
I share the hon. and learned Gentleman's views on this matter.,1,1
As I said earlier  there is no ban on production outside quotas.,0,0
I have already made my views plain on that matter.,0,0
Does my right hon. Friend accept that the first part of his answer is reassuring  but that the second is not'?,0,0
As regards the examinations  I go a long way with the hon. Gentleman in what he says.,1,1
Such a response leads to the death not only of those three young soldiers but of others.,0,0
Certainly those are matters which will have to be discussed.,0,0
I can only disagree with the right hon. Gentleman.,0,0
There is no comparison between the situation in the New Hebrides and that in the Comoro Islands.,0,0
The average measure is the best.,0,0
The Under Secretary of State made no such statement and was referring to a letter that he had written to the chairman of British Rail this morning.,0,0
He takes his case much further than is justified.,1,2
So far as we are concerned  we have made our view quite clear that the establishment of that interim Administration is null and void  and we have nothing to add to that.,0,0
There have been discussions this week on the advance payment issue  and I hope that there will be progress on the matter before too long.,0,0
As I have already said I have a very wide range of powers in this matter and I intend to use every one of them in the most helpful way possible to create new jobs  and to encourage firms to expand and create new employment in every way they can.,0,0
Is it not the case  as I believe the Minister knows  that Victoria and Albert museum and British library officials met on the Friday before last and expressed their concern and willingness to help but that they made it clear to the Minister that without money from him they were unable to do anything?,0,0
We stand strongly for Germany being in NATO.,0,0
Does he accept that many of us would regret such opposition  and can he explain it?,0,0
Without the consequences of the substantial reductions in personal taxation  especially at middle and higher levels  morale in industry would be a great deal worse than it is today.,0,0
I am glad that the north of England  like Scotland and all the other parts of the United Kingdom  is now sharing in the fall in unemployment generally  the rise in economic activity and continuing low levels of inflation.,0,0
The best safeguard for the minority in Northern Ireland is for it to feel that it can play a full part both in the Government and in an Assembly in Northern Ireland  and also in supporting the forces of law and order.,0,0
I can confirm that the representations received include representations from local authorities  including those from the specific individual about whom the hon. Gentleman is so concerned.,0,0
I fully understand my hon. Friend's point.,0,0
The police offer a safe haven to people who give evidence on which terrorists can be brought to justice.,0,0
I will be having further talks in Bonn next week with Herr Genscher and Chancellor Kohl.,0,0
How will he handle the continuing problem of a massive outflow of capital from Britain?,0,0
In particular  will he consider establishing a proper link with the inter city routes from the North East of Scotland to the south?,0,0
I am responsible only for Northern Ireland.,0,0
What assurance can he give to me and my constituents today that the same will not occur this weekend?,0,0
To ask the Secretary of State for Defence what steps he is taking to review the level of British forces stationed in Germany.,0,0
There is every reason to suppose that under this freedom more gas will be developed and brought ashore which will be for the good of British industry.,0,0
The hon. Gentleman is right on the latter point.,1,1
That goes rather beyond the remit of the interim advisory committee  but I pay tribute to the work of teachers across the country to make the introduction of GCSE so successful  which I am sure it is and will be.,0,0
We have asked the boroughs to give specific priority to the homeless when they make their investment decisions.,0,0
I am grateful for the support of my hon. Friend and others of my right hon. and hon. Friends.,0,0
Will the right hon. Gentleman discuss with the chairman by all means giving the Prime Minister adequate security but minimising the the inconvenience caused to all rail travellers?,1,2
My hon. and learned Friend is in as good a position as anyone to know that any comment on the report åùwhich owes much to the hard and effective work of Lord Hunter over a long period åùwill need a great deal of detailed study  because it is a huge document.,0,0
I remind the hon. Lady that when there were disturbances on the island of Tanna a few days ago we took action with the police mobile forces.,0,0
I do not believe that the hon. Member supports a system which  at vast public cost  produces surpluses that cannot be disposed of.,1,2
in September.,0,0
If the British Government do not agree with that  on what basis was the United States able to put the proposal on the negotiating table?,0,0
I share my hon. Friend's views on that.,1,1
Is he aware that the Prime Minister herself  in this week's issue of Janes Defence Weekly  rightly pointed out that a deterrent based on cruise would be much more expensive than Trident and would come into service much too late to be of any value?,1,1
It was left to us to involve even the CBI to help with the publicity.,0,0
Brown lignite  the fuel source  is indigenous to Northern Ireland and provides the possibility of a breakthrough for cheaper energy for Northern Ireland.,0,0
When I heard that he would not be available to do that  I took my own spade  but unfortunately I was not asked to do it  and the Minister with responsibility for health was brought in to do it instead.,0,0
To ask the Secretary of State for Education and Science whether he has any plans to meet the National Union of Students to discuss the arrangements for the introduction of the community charge; and if he will make a statement.,0,0
A membrane of Terram  followed by 40 cm of clean washed sand  is being placed on the remains for their best preservation.,0,0
Is he aware that the sooner the moratorium can be lifted or  at any rate  made more selective  the better pleased we shall be in Plymouth?,0,0
Does he not agree that the Government would be derelict in their responsibility if they failed to encourage and regenerate British Railways bearing in mind the world's finite fuel resources?,1,2
will he agree that urgent changes in the way that the social fund works are needed  especially if those who deserve grants are to be in a position to take them up?,0,0
I hope that the fishermen who are not going to sea will bear in mind the wider interests of the industry åùfor example  processers and those employed in processing firms åùas well as their own interests.,0,0
The figure of 80 per cent.,0,0
If he cannot tell me  will he tell his hon. Friend whether those buses will still be running after October?,0,0
"My hon. Friend knows that the policy on competition was settled in the White Paper ""Airline Competition Policy""  Cmnd.",0,0
I gave you notice  Mr. Speaker  before noon today that I might seek to move the Adjournment of the House to discuss this matter.,0,0
Bearing in mind that Nelson Mandela has been in prison but was never convicted of any personal act of violence  and that it is somewhat unusual  to say the least  to impose conditions on the release of persons in prison  either in South Africa or any other country  neither I nor Her Majesty's Government believe that it is appropriate to require statements from Mr. Mandela before he is released.,0,0
As one hon. Gentleman said earlier  many people are now recognising the need of all races in South Africa to come together to discuss future systems of government.,0,0
I welcome the Minister to the Dispatch Box on his first appearance as the Minister with responsibility for Europe.,0,0
Since my announcement on 4 February my Department has received many comments from many sources.,0,0
As I said a moment ago  the Fraser of Allander Scottish business survey is the most optimistic since the survey began.,0,0
The hon. Gentleman misleads himself.,1,2
The family doctors' contract with the National Health Service will be amended to make health promotion and the prevention of disease a specific part of their terms of service.,0,0
asked the Secretary of State for Defence if he is satisfied with the present arrangements for the dispersal of cruise missiles from Greenham common for training purposes.,0,0
Our absolute determination is to do the best for electricity consumers in Northern Ireland.,0,0
It is very much in the interests of the New Hebrideans that Britain and France should act together.,0,0
I have noted the interesting development of the Opposition calling for the use of force.,0,0
These 800 people are very worried and frightened about their future  yet all the Chancellor can say is that it is somehow a matter for the market place or the company to decide.,0,0
The local government Bill that we hope shortly to be considering will enable local authorities to guarantee private sector finance in this form  so there will be considerable relief in that way.,0,0
However  I am grateful to my hon. Friend.,0,0
As this is the season of consultation  will the Secretary of State have consultations with the Secretary of State for Transport to sort out the problem which they have caused for the West Yorkshire transport authority?,1,2
